Generation,Max_Score,Avg_Score,max_fitness,Avg_fitness
50.0,3,0.202,1166666.6666666667,81182.10488971253
51.0,3,0.242,1181818.1818181819,133694.21664543476
52.0,3,0.212,1166666.6666666667,101367.04164829584
53.0,3,0.178,1142857.1428571427,66262.47748359635
54.0,3,0.222,1153846.1538461538,102963.45780929034
55.0,3,0.238,1181818.1818181819,118170.31362971691
56.0,3,0.168,1133333.3333333333,50735.301980183816
57.0,4,0.23,1166666.6666666667,104212.50866117024
58.0,3,0.244,1181818.1818181819,124569.7007407654
59.0,2,0.212,1166666.6666666667,101906.96037388821
60.0,3,0.264,1181818.1818181819,129328.47131310673
61.0,3,0.314,1200000.0,185850.17656360703
62.0,2,0.262,1166666.6666666667,148213.88998022955
63.0,3,0.254,1181818.1818181819,154421.98807179517
64.0,4,0.242,1181818.1818181819,118648.09089799089
65.0,4,0.304,1200000.0,170966.7873838984
66.0,5,0.266,1181818.1818181819,135536.27676481046
67.0,3,0.302,1200000.0,157324.22698720047
68.0,3,0.296,1181818.1818181819,180907.0381117046
69.0,3,0.352,1200000.0,223355.85522239553
70.0,3,0.362,1200000.0,235079.43093251914
71.0,2,0.272,1166666.6666666667,164791.51111841144
72.0,5,0.286,1200000.0,161835.7645093356
73.0,3,0.324,1222222.2222222222,190436.17265430663
74.0,3,0.322,1200000.0,190456.66726501388
75.0,3,0.388,1222222.2222222222,253712.04114615452
76.0,4,0.332,1200000.0,203265.61657766928
77.0,4,0.376,1200000.0,234568.13404836535
78.0,4,0.318,1200000.0,176910.24824040924
79.0,3,0.326,1222222.2222222222,202894.64071388845
80.0,3,0.34,1222222.2222222222,194465.77723662116
81.0,4,0.352,1222222.2222222222,201695.2405427405
82.0,5,0.44,1285714.285714286,261167.6858659586
83.0,3,0.39,1222222.2222222222,229521.92879549356
84.0,5,0.428,1285714.285714286,248820.82213505585
85.0,4,0.462,1333333.3333333333,293767.7495396393
86.0,3,0.388,1200000.0,250776.8951670369
87.0,3,0.37,1166666.6666666667,231951.16833588472
88.0,3,0.4,1222222.2222222222,260280.67625007976
89.0,7,0.434,1250000.0,253453.56680463348
90.0,6,0.526,1400000.0,337952.0639289449
91.0,3,0.412,1222222.2222222222,258636.51336458325
92.0,4,0.446,1285714.285714286,283861.51787986734
93.0,3,0.466,1250000.0,305629.94236305804
94.0,4,0.5,1400000.0,320750.64520034613
95.0,4,0.438,1285714.285714286,264161.40696003655
96.0,4,0.474,1222222.2222222222,325066.15981562255
97.0,6,0.414,1200000.0,246896.25402429845
98.0,4,0.486,1285714.285714286,313745.9359134591
99.0,3,0.44,1333333.3333333333,270507.3542316708
100.0,4,0.514,2171428.5714285714,335298.0956129594
101.0,3,0.488,1500000.0,310353.4397756447
102.0,7,0.468,1333333.3333333333,300012.25929601345
103.0,9,0.5,1285714.285714286,310004.755432131
104.0,4,0.468,1500000.0,287135.1716941073
105.0,4,0.52,1333333.3333333333,347456.0883050944
106.0,12,0.51,1285714.285714286,317158.65253589564
107.0,14,0.596,2193548.387096774,353755.69119883137
108.0,15,0.62,2206896.5517241377,383051.5645088016
109.0,4,0.512,2098360.655737705,328120.7226844899
110.0,5,0.588,2176470.588235294,388511.02738937596
111.0,10,0.636,2206896.5517241377,421313.4795411499
112.0,5,0.574,2187500.0,382132.2896461915
113.0,4,0.546,2100000.0,354765.0886766091
114.0,8,0.58,2206896.5517241377,368778.5796527109
115.0,8,0.598,2127659.574468085,378320.82817804714
116.0,5,0.648,2206896.5517241377,438031.14484431583
117.0,9,0.784,2315789.473684211,488723.91849510086
118.0,24,0.984,2428571.428571428,529200.5812858862
119.0,13,1.094,3235294.117647059,629216.0552113771
120.0,18,1.334,3363636.3636363638,678342.5397698495
121.0,17,1.714,5197368.421052632,1061526.763565331
122.0,18,1.87,5326086.956521739,1002225.5193918343
123.0,24,2.418,7304347.826086956,1473133.4367612198
124.0,23,2.498,7358974.358974359,1351064.943410832
125.0,29,3.524,10404411.764705881,2211371.192376399
126.0,30,4.074,13457286.432160804,2434607.747290594
127.0,29,3.974,12471299.093655588,2307268.524454944
128.0,27,4.83,14509708.737864077,3136320.866208138
129.0,30,5.192,16416539.050535988,3360493.61637569
130.0,32,6.258,18561576.354679804,4195131.415822892
131.0,33,5.948,17478873.23943662,3977970.0925551583
132.0,34,5.808,16500920.810313076,3868729.516834374
133.0,33,6.654,19500000.0,4625613.173630247
134.0,35,7.244,20545454.545454547,5036057.158527414
135.0,31,7.882,20569105.69105691,5663713.573339902
136.0,36,7.468,20574555.40355677,5204461.648530072
137.0,32,8.45,22515800.2038736,6115281.001994508
138.0,37,9.388,23547619.04761905,6989921.780008459
139.0,38,9.296,23575000.0,6845326.2249413375
140.0,42,8.674,21669565.217391305,6274573.100520275
141.0,37,8.746,23520754.71698113,6279223.967987763
142.0,32,9.594,22634880.80301129,7213728.268636453
143.0,38,9.472,23628701.59453303,7030987.9092460945
144.0,38,10.22,24591715.97633136,7708790.316909841
145.0,41,10.394,25623800.383877162,7724897.358596676
146.0,36,10.29,25591446.769790716,7654428.567428642
147.0,39,10.488,24597014.925373133,7879875.341372321
148.0,37,9.932,24607287.44939271,7298646.990012141
149.0,38,10.498,26586466.165413532,7812377.212387114
150.0,36,10.324,26589420.65491184,7667450.672412372
151.0,39,10.784,25586113.615870155,8122707.726528996
152.0,36,10.97,26573061.224489793,8231874.886907619
153.0,38,11.07,26592405.06329114,8405757.302972963
154.0,34,11.234,26597955.706984665,8569560.503786493
155.0,38,11.534,27568848.758465014,8754455.366056783
156.0,35,11.082,26634719.710669078,8418883.548505967
157.0,44,11.728,28609152.288072016,8890998.909191234
158.0,39,10.786,27642310.96006797,7879026.238070996
159.0,41,12.058,27637974.683544304,9242394.862543931
160.0,40,10.468,25618458.61084681,7782940.609732625
161.0,37,10.196,24628930.817610063,7552122.792983413
162.0,40,11.286,26702000.0,8476778.315082118
163.0,40,11.1,26552321.007081036,8412016.21541628
164.0,40,11.306,26634719.710669078,8502379.33952176
165.0,41,12.354,27563338.30104322,9633106.89169032
166.0,43,12.32,27628951.747088186,9550102.050156206
167.0,42,13.596,28613293.051359516,10799718.693342607
168.0,38,13.264,28598820.05899705,10453197.495272873
169.0,39,14.346,28686390.53254438,11464667.248007147
170.0,39,13.282,28630924.63092463,10381388.12062662
171.0,39,13.768,30602721.970187947,10871515.600745553
172.0,37,13.036,28580000.0,10254684.367249994
173.0,40,13.632,29647321.428571425,10692591.905930536
174.0,40,15.028,31654353.562005278,12038981.020316442
175.0,40,13.582,29620985.010706637,10638236.87953701
176.0,39,14.13,29636896.046852123,11151419.4951015
177.0,44,14.436,31635897.435897436,11308471.338829627
178.0,46,13.786,30603112.840466928,10776806.406268066
179.0,43,13.804,30617529.880478088,10865133.305807844
180.0,43,12.478,29603747.39764053,9461088.850200785
181.0,46,14.416,31649639.81663392,11170514.070641832
182.0,44,14.106,31628245.725142494,10907231.870524015
183.0,42,13.444,31631444.93952896,10218502.236001348
184.0,49,13.798,31626658.243840806,10636535.023319315
185.0,42,14.492,32584394.023242943,11292740.918497022
186.0,51,15.066,32643902.43902439,11775242.576819358
187.0,47,13.872,32648250.46040516,10470321.35897851
188.0,44,14.77,33618181.81818182,11475909.75978996
189.0,49,15.324,32637296.31864816,11987144.69273507
190.0,51,14.62,32594594.594594598,11261066.929434506
191.0,55,14.29,33604851.752021566,10841176.381129
192.0,47,15.368,33651567.944250874,11947851.865662707
193.0,48,14.664,31618839.675608236,11360547.552281968
194.0,45,15.29,32636528.028933093,11965071.095438475
195.0,55,16.968,35673796.79144385,13251965.964297555
196.0,49,15.56,35653526.97095436,11847203.514637437
197.0,47,15.73,34694282.38039674,12106607.460218975
198.0,50,15.684,35550699.3006993,11969598.947219633
199.0,54,14.91,34652054.79452054,11175150.55655179
200.0,57,14.554,34611196.71289162,10751144.790525984
201.0,56,14.444,33632112.67605634,10779457.438539585
202.0,48,15.832,36659732.54086181,11982532.852659957
203.0,56,17.402,38669376.69376694,13344691.092962755
204.0,58,17.468,38668169.52209197,13286243.356130904
205.0,52,16.394,37598807.495741054,12553001.786127696
206.0,58,17.508,39663829.787234046,13339488.110259118
207.0,56,16.168,38672108.84353741,12065131.429961432
208.0,61,17.742,42655059.847660504,13384000.85080152
209.0,59,18.272,42690366.97247706,13778256.972052868
210.0,57,17.312,41650302.11480362,12942306.20332431
211.0,58,17.622,41666924.86444616,13186495.09343665
212.0,63,18.974,42703544.9941566,14412197.189354336
213.0,65,19.672,42693282.14971209,15008138.219370548
214.0,74,18.154,42642933.42826629,13547736.068743875
215.0,73,19.126,44672325.976230904,14290084.588637952
216.0,72,19.76,45631482.61134838,14855916.629571699
217.0,60,20.078,46632718.759145446,15272534.3614782
